Name	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700
01A_b	5.09	5.09	5.04	5.0	5.0	4.97	4.97	4.93	4.92	4.92	4.89	4.9	4.88	4.86	4.84	4.84	4.86	4.87	4.9	4.9	4.88	4.91	4.92	4.9	4.92	4.9	4.9	4.89	4.93	4.91	4.93
01A_ob	4.44	4.43	4.39	4.38	4.35	4.3	4.28	4.21	4.18	4.17	4.16	4.16	4.16	4.25	4.5	4.88	5.21	5.38	5.45	5.41	5.3	5.29	5.21	5.14	5.11	5.05	5.02	5.0	4.98	4.96	4.97
01A_ow	6.73	7.97	8.59	8.94	8.54	7.24	5.9	4.87	4.37	4.2	4.17	4.1	4.16	4.3	4.36	5.53	17.04	39.68	60.45	71.46	75.98	78.19	79.58	80.69	81.99	82.92	83.78	84.35	84.74	84.98	85.39
01A_w	54.83	72.98	78.39	80.16	81.59	82.46	83.58	83.99	84.73	85.18	85.53	85.74	85.72	85.78	85.81	85.64	85.48	85.38	85.39	85.56	85.56	85.84	86.11	86.53	87.28	87.75	88.2	88.47	88.64	88.56	88.75
01B_b	5.19	5.18	5.12	5.1	5.06	5.04	5.04	5.0	4.99	4.98	4.96	4.97	4.94	4.92	4.92	4.91	4.92	4.93	4.97	4.96	4.94	4.96	4.98	4.96	4.97	4.96	4.96	4.96	4.98	4.96	4.99
01B_ob	58.05	60.12	60.73	60.73	60.3	59.38	58.28	56.53	54.2	52.13	50.59	48.63	46.25	45.84	48.53	51.67	53.15	53.13	52.72	52.13	51.34	51.2	50.49	49.8	49.28	48.66	48.08	47.25	46.84	46.22	45.66
01B_ow	59.67	64.3	67.39	69.55	71.02	71.47	71.44	69.61	66.5	63.69	61.95	59.28	55.69	56.13	63.6	73.79	80.97	83.75	84.66	85.11	85.2	85.53	85.83	86.15	86.77	87.24	87.58	87.69	87.98	87.89	88.08
01B_w	52.05	70.94	77.05	79.11	80.58	81.53	82.58	83.19	83.9	84.39	84.81	85.0	85.08	85.04	85.18	85.03	84.91	84.78	84.82	85.0	84.91	85.19	85.49	85.82	86.61	87.12	87.59	87.66	87.98	87.89	88.04
01C_b	5.16	5.14	5.1	5.06	5.04	5.02	5.02	4.98	4.96	4.96	4.93	4.94	4.92	4.89	4.88	4.88	4.89	4.91	4.94	4.94	4.92	4.93	4.95	4.94	4.95	4.93	4.93	4.92	4.95	4.93	4.96
01C_ob	26.18	26.33	26.34	26.36	25.66	24.0	21.89	19.15	15.87	13.63	12.42	11.12	9.81	9.77	12.31	18.78	29.08	37.78	41.87	42.84	42.64	42.65	42.02	41.44	40.98	40.45	39.92	39.17	38.71	38.17	37.78
01C_ow	25.45	25.73	25.73	25.77	25.2	23.52	21.36	18.62	15.4	13.21	12.04	10.75	9.52	9.51	11.94	18.4	32.65	51.9	67.17	74.53	77.44	79.04	80.11	81.08	82.14	83.07	83.82	84.14	84.69	84.91	85.31
01C_w	54.56	72.83	78.47	80.17	81.66	82.43	83.56	83.97	84.77	85.16	85.56	85.69	85.75	85.72	85.83	85.55	85.47	85.4	85.43	85.57	85.56	85.77	86.08	86.52	87.19	87.7	88.22	88.36	88.66	88.56	88.8
02A_b	5.16	5.13	5.09	5.05	5.03	5.01	5.01	4.97	4.95	4.95	4.92	4.95	4.91	4.9	4.88	4.87	4.89	4.91	4.93	4.93	4.91	4.93	4.95	4.94	4.94	4.93	4.92	4.92	4.95	4.92	4.96
02A_ob	4.37	4.37	4.32	4.31	4.28	4.24	4.21	4.17	4.13	4.13	4.12	4.11	4.12	4.2	4.46	4.84	5.19	5.39	5.48	5.46	5.34	5.37	5.27	5.2	5.17	5.11	5.09	5.04	5.04	5.01	5.03
02A_ow	5.96	7.07	7.63	7.96	7.59	6.45	5.36	4.59	4.24	4.12	4.11	4.03	4.09	4.24	4.34	5.11	15.39	37.67	59.4	71.41	76.44	78.84	80.31	81.46	82.71	83.64	84.51	84.95	85.44	85.63	85.98
02A_w	54.45	72.36	77.84	79.78	81.34	82.28	83.44	84.0	84.8	85.2	85.72	85.86	85.92	85.93	86.03	85.88	85.73	85.58	85.58	85.73	85.75	85.92	86.24	86.68	87.44	87.83	88.38	88.56	88.82	88.69	88.89
02B_b	5.21	5.21	5.14	5.12	5.1	5.07	5.08	5.04	5.0	5.01	4.99	4.98	4.97	4.95	4.93	4.93	4.95	4.96	4.98	4.99	4.97	4.99	5.0	4.99	4.99	5.0	4.97	4.96	5.0	4.98	5.01
02B_ob	56.38	58.77	59.91	60.64	60.47	59.67	58.17	55.76	52.18	49.3	47.59	45.32	42.7	42.72	47.16	53.39	57.76	59.06	59.15	58.81	58.13	58.01	57.37	56.74	56.24	55.72	55.15	54.51	54.06	53.41	52.92
02B_ow	57.35	60.37	62.06	63.51	63.98	63.3	61.74	58.81	54.51	51.18	49.25	46.83	44.06	44.19	49.95	60.94	72.77	79.89	82.77	83.91	84.26	84.69	85.08	85.38	85.96	86.4	86.72	86.82	87.06	87.03	87.22
02B_w	54.43	72.48	78.11	80.03	81.5	82.43	83.56	84.13	84.83	85.26	85.75	85.89	85.94	85.91	86.03	85.84	85.69	85.56	85.56	85.72	85.67	85.91	86.22	86.65	87.32	87.79	88.26	88.42	88.67	88.6	88.76
02C_b	5.19	5.17	5.12	5.09	5.07	5.04	5.04	5.0	4.99	4.99	4.96	4.97	4.94	4.93	4.92	4.91	4.92	4.94	4.97	4.97	4.95	4.97	4.97	4.97	4.98	4.96	4.97	4.96	4.98	4.96	4.99
02C_ob	22.91	23.11	23.23	23.25	22.61	21.0	19.04	16.55	13.67	11.78	10.75	9.71	8.6	8.51	10.6	16.36	25.97	33.94	37.41	38.09	37.77	37.59	36.95	36.37	35.8	35.27	34.69	33.99	33.52	32.99	32.53
02C_ow	22.77	23.14	23.32	23.5	23.0	21.34	19.23	16.64	13.69	11.72	10.72	9.63	8.57	8.53	10.56	16.91	33.06	54.45	69.76	76.4	78.92	80.34	81.3	82.19	83.28	84.05	84.75	85.08	85.56	85.73	86.11
02C_w	53.48	71.78	77.52	79.56	81.0	82.0	83.12	83.72	84.46	84.86	85.43	85.56	85.64	85.69	85.7	85.57	85.46	85.33	85.31	85.49	85.46	85.71	85.99	86.43	87.08	87.69	88.09	88.28	88.5	88.45	88.65
03A_b	5.25	5.22	5.16	5.14	5.11	5.09	5.09	5.05	5.03	5.03	5.01	5.0	4.99	4.96	4.96	4.96	4.96	4.99	5.01	5.01	4.99	5.03	5.02	5.04	5.03	5.02	5.03	5.01	5.05	5.03	5.08
03A_ob	4.46	4.46	4.41	4.4	4.37	4.27	4.21	4.15	4.08	4.04	4.04	4.01	4.02	4.09	4.4	4.91	5.43	5.81	6.0	6.0	5.88	5.87	5.71	5.59	5.51	5.44	5.39	5.33	5.3	5.25	5.25
03A_ow	7.03	8.3	8.94	9.38	9.01	7.58	6.02	4.92	4.33	4.09	4.07	3.97	4.02	4.17	4.48	4.87	12.15	31.91	54.55	68.39	74.14	76.64	77.95	79.02	80.19	81.05	82.08	82.53	83.17	83.44	84.08
03A_w	51.85	70.41	76.39	78.53	79.92	80.98	82.06	82.68	83.51	83.98	84.45	84.64	84.72	84.69	84.8	84.67	84.53	84.41	84.31	84.53	84.51	84.83	85.17	85.71	86.45	86.92	87.5	87.66	88.0	87.91	88.08
03B_b	5.22	5.22	5.15	5.13	5.09	5.09	5.07	5.04	5.02	5.01	5.0	5.0	4.97	4.96	4.95	4.95	4.96	4.97	5.0	5.0	4.98	5.0	5.0	5.0	5.01	5.0	4.99	5.0	5.01	5.0	5.03
03B_ob	58.62	61.62	63.16	64.16	64.47	64.03	63.15	61.35	58.56	55.89	53.99	52.35	50.13	49.59	52.56	57.14	60.64	61.98	62.18	61.94	61.33	61.27	60.7	60.1	59.62	59.01	58.56	57.77	57.35	56.78	56.25
03B_ow	59.02	62.65	64.92	66.67	67.92	68.04	67.56	65.66	62.25	59.05	57.02	55.19	52.6	52.25	56.98	65.55	74.11	79.22	81.52	82.64	82.97	83.55	83.91	84.2	84.82	85.24	85.64	85.61	85.89	85.92	86.09
03B_w	52.14	71.27	77.49	79.44	80.8	81.73	82.81	83.39	84.1	84.47	84.97	85.13	85.14	85.17	85.29	85.13	85.0	84.89	84.95	85.01	85.05	85.31	85.58	85.98	86.7	87.19	87.66	87.8	88.11	88.05	88.2
03C_b	5.21	5.19	5.16	5.11	5.09	5.07	5.07	5.04	5.01	5.01	5.0	5.0	4.97	4.96	4.94	4.93	4.95	4.96	5.0	5.0	4.97	5.0	5.0	5.0	5.0	5.0	4.98	5.0	5.01	5.0	5.02
03C_ob	33.68	34.36	34.77	35.04	34.66	33.74	32.13	29.7	26.07	23.03	21.14	19.52	17.43	16.9	19.84	25.88	31.98	35.13	35.92	35.77	35.2	35.02	34.34	33.72	33.16	32.6	32.06	31.39	30.9	30.36	29.96
03C_ow	33.72	34.98	35.91	36.83	37.03	36.17	34.16	31.0	26.52	23.03	21.0	19.23	17.09	16.54	19.76	29.1	45.81	62.14	72.11	76.39	78.02	79.09	79.72	80.41	81.47	82.13	82.94	83.14	83.55	83.78	84.19
03C_w	54.48	72.53	78.22	80.04	81.58	82.47	83.55	84.12	84.82	85.22	85.7	85.93	85.94	85.92	85.97	85.78	85.62	85.58	85.59	85.66	85.7	85.92	86.18	86.62	87.35	87.83	88.34	88.42	88.75	88.66	88.86
03D_b	5.24	5.22	5.17	5.14	5.11	5.09	5.09	5.05	5.04	5.03	5.01	5.01	5.0	4.97	4.96	4.97	4.97	4.99	5.02	5.02	5.0	5.03	5.03	5.04	5.04	5.03	5.04	5.04	5.07	5.04	5.08
03D_ob	4.58	4.59	4.54	4.55	4.52	4.48	4.43	4.37	4.29	4.22	4.21	4.18	4.18	4.29	4.64	5.16	5.52	5.63	5.63	5.58	5.46	5.49	5.37	5.26	5.2	5.14	5.11	5.06	5.02	4.99	5.0
03D_ow	7.71	9.29	10.31	11.16	11.41	10.65	9.23	7.61	5.92	4.95	4.61	4.44	4.33	4.39	4.76	7.12	15.73	27.86	36.87	41.14	42.76	43.99	44.47	44.9	45.39	45.76	46.27	46.45	46.81	47.08	47.42
03D_w	53.84	72.07	77.69	79.66	81.17	82.09	83.16	83.75	84.53	84.97	85.42	85.61	85.64	85.68	85.69	85.53	85.39	85.26	85.33	85.45	85.44	85.65	85.98	86.42	87.08	87.62	88.09	88.3	88.57	88.5	88.67
03E_b	5.2	5.18	5.13	5.09	5.09	5.06	5.07	5.04	5.01	5.01	4.99	5.0	4.97	4.95	4.95	4.95	4.96	4.96	5.0	5.0	4.99	5.01	5.01	5.01	5.04	5.0	5.03	5.02	5.04	5.04	5.05
03E_ob	3.46	3.48	3.46	3.46	3.44	3.44	3.42	3.38	3.35	3.31	3.29	3.28	3.27	3.36	3.61	3.88	3.98	3.92	3.84	3.8	3.74	3.77	3.71	3.65	3.65	3.6	3.6	3.57	3.54	3.54	3.54
03E_ow	4.24	4.37	4.42	4.5	4.5	4.46	4.34	4.2	4.03	3.92	3.86	3.81	3.8	3.88	4.12	4.58	5.43	6.4	7.02	7.3	7.4	7.63	7.67	7.71	7.79	7.87	7.95	7.99	8.05	8.12	8.2
03E_w	54.27	72.09	77.72	79.53	81.06	82.03	83.22	83.69	84.5	84.94	85.36	85.58	85.65	85.7	85.7	85.61	85.42	85.28	85.33	85.49	85.47	85.69	86.02	86.39	87.17	87.61	88.12	88.33	88.53	88.4	88.64
04A_b	5.21	5.2	5.13	5.09	5.08	5.05	5.05	5.02	5.0	4.99	4.97	4.96	4.95	4.93	4.92	4.92	4.93	4.95	4.97	4.98	4.96	4.97	4.97	4.99	4.97	4.97	4.96	4.97	4.99	4.97	5.01
04A_ob	4.19	4.16	4.11	4.07	4.06	4.04	4.04	4.01	4.0	3.99	3.98	3.97	3.98	3.98	3.98	3.96	3.98	4.04	4.17	4.46	5.11	6.37	8.02	9.7	11.18	12.23	12.98	13.46	13.89	14.2	14.45
04A_ow	4.13	4.14	4.07	4.04	4.03	4.03	4.0	3.98	3.97	3.97	3.96	3.96	3.96	3.97	3.97	3.94	3.98	4.02	4.15	4.45	5.07	6.32	8.03	10.08	12.42	14.79	17.12	19.34	21.86	24.31	26.98
04A_w	54.44	72.31	77.9	79.75	81.3	82.26	83.46	83.95	84.81	85.21	85.67	85.97	85.97	86.0	86.09	85.83	85.72	85.66	85.67	85.82	85.75	86.0	86.31	86.69	87.42	87.89	88.33	88.48	88.73	88.67	88.84
04B_b	5.2	5.17	5.12	5.08	5.05	5.04	5.04	5.0	4.97	4.97	4.96	4.95	4.93	4.91	4.9	4.9	4.91	4.92	4.95	4.95	4.92	4.94	4.96	4.94	4.95	4.94	4.93	4.92	4.96	4.93	4.96
04B_ob	21.77	21.07	20.23	19.35	18.97	18.5	17.56	16.07	14.52	13.56	12.72	11.74	11.18	11.4	11.71	11.21	10.73	11.78	15.29	20.92	27.57	34.56	40.17	44.77	48.53	51.3	53.33	54.54	55.74	56.41	57.01
04B_ow	21.4	20.69	19.86	18.95	18.54	18.02	17.06	15.58	14.09	13.15	12.34	11.39	10.85	11.05	11.34	10.85	10.41	11.37	14.7	20.06	26.64	33.55	39.26	44.24	48.58	52.25	55.42	57.74	60.06	61.78	63.46
04B_w	54.86	72.95	78.56	80.33	81.72	82.65	83.68	84.17	84.92	85.3	85.8	85.92	85.97	85.94	86.0	85.88	85.7	85.56	85.67	85.76	85.78	85.99	86.32	86.71	87.47	87.91	88.38	88.53	88.77	88.67	88.92
04C_b	5.24	5.21	5.16	5.12	5.09	5.08	5.07	5.03	5.01	5.0	4.99	4.97	4.96	4.95	4.92	4.92	4.93	4.95	4.97	4.97	4.96	4.97	4.99	4.97	4.99	4.97	4.96	4.96	5.0	4.96	5.0
04C_ob	7.2	6.92	6.55	6.27	6.07	5.87	5.63	5.36	5.11	4.96	4.84	4.72	4.65	4.67	4.71	4.63	4.59	4.72	5.26	6.5	8.55	11.49	14.67	17.88	21.06	23.82	26.22	28.1	29.74	31.0	32.15
04C_ow	7.09	6.81	6.44	6.16	5.96	5.76	5.53	5.26	5.03	4.89	4.77	4.64	4.58	4.6	4.63	4.55	4.51	4.63	5.11	6.22	8.11	10.85	13.84	17.02	20.39	23.63	26.82	29.73	32.5	35.0	37.52
04C_w	54.45	72.72	78.17	80.09	81.49	82.34	83.47	83.97	84.67	85.14	85.55	85.7	85.8	85.78	85.82	85.69	85.55	85.42	85.47	85.63	85.6	85.82	86.12	86.52	87.23	87.75	88.22	88.35	88.67	88.53	88.72
04D_b	5.2	5.2	5.13	5.1	5.09	5.07	5.06	5.02	5.0	5.0	4.99	4.98	4.97	4.95	4.95	4.93	4.95	4.96	4.99	4.99	4.97	5.0	5.0	5.0	5.0	4.99	4.99	4.97	5.0	4.99	5.01
04D_ob	3.58	3.56	3.5	3.48	3.46	3.43	3.41	3.38	3.36	3.31	3.28	3.23	3.19	3.2	3.21	3.18	3.17	3.25	3.4	3.72	4.28	5.25	6.36	7.36	8.13	8.64	8.98	9.18	9.31	9.46	9.55
04D_ow	3.54	3.52	3.46	3.44	3.41	3.4	3.38	3.35	3.29	3.27	3.23	3.17	3.14	3.17	3.19	3.17	3.16	3.26	3.44	3.77	4.34	5.34	6.49	7.68	8.84	9.8	10.68	11.41	12.15	12.89	13.6
04D_w	52.4	71.54	77.65	79.59	81.06	81.96	83.03	83.59	84.25	84.66	85.23	85.31	85.46	85.39	85.5	85.39	85.25	85.12	85.14	85.3	85.33	85.45	85.79	86.19	86.92	87.36	87.83	87.95	88.23	88.19	88.3
04E_b	5.21	5.2	5.14	5.1	5.08	5.05	5.05	5.02	4.99	4.99	4.97	4.97	4.95	4.93	4.92	4.92	4.93	4.95	4.96	4.97	4.93	4.96	4.97	4.97	4.97	4.96	4.95	4.95	4.97	4.95	4.97
