01A	Eosin1Wax-ZincWhite-BoneBlack|100-0-0
01B	Eosin1Wax-ZincWhite-BoneBlack|10-90-0
01C	Eosin1Wax-ZincWhite-BoneBlack|50-50-0
02A	Eosin-ZincWhite-BoneBlack|100-0-0
02B	Eosin-ZincWhite-BoneBlack|9.7-90.3-0
02C	Eosin-ZincWhite-BoneBlack|49.9-50.1-0
03A	Eosin2PbWax-ZincWhite-BoneBlack|100-0-0
03B	Eosin2PbWax-ZincWhite-BoneBlack|11.1-88.9-0
03C	Eosin2PbWax-ZincWhite-BoneBlack|50.3-49.7-0
03D	Eosin2PbWax-ZincWhite-BoneBlack|99-0-1
03E	Eosin2PbWax-ZincWhite-BoneBlack|90-0-10
04A	Cochineal-ZincWhite-BoneBlack|100-0-0
04B	Cochineal-ZincWhite-BoneBlack|9.9-90.1-0
04C	Cochineal-ZincWhite-BoneBlack|50.6-49.4-0
04D	Cochineal-ZincWhite-BoneBlack|98.2-0-1.8
04E	Cochineal-ZincWhite-BoneBlack|89.5-0-10.5
04F	Cochineal-ZincWhite-BoneBlack|0.8-99.2-0
05A	Minium-ZincWhite-BoneBlack|100-0-0
05B	Minium-ZincWhite-BoneBlack|9.2-90.8-0
05C	Minium-ZincWhite-BoneBlack|50.8-49.2-0
05D	Minium-ZincWhite-BoneBlack|99.8-0-0.2
05E	Minium-ZincWhite-BoneBlack|91.1-0-8.9
06A	Vermillion-ZincWhite-BoneBlack|100-0-0
06B	Vermillion-ZincWhite-BoneBlack|10-90-0
06C	Vermillion-ZincWhite-BoneBlack|50-50-0
06D	Vermillion-ZincWhite-BoneBlack|99-0-1
06E	Vermillion-ZincWhite-BoneBlack|89.8-0-10.2
07A	ZincWhite-BoneBlack|100-0
07B	ZincWhiteLinseed-BoneBlack|100-0
07C	ZincWhite-BoneBlack|97.1-2.9
07D	ZincWhite-BoneBlack|90.4-9.6
07E	ZincWhite-BoneBlack|47.8-52.2
07F	ZincWhite-BoneBlack|25.8-74.2
08A	LeadWhite-BoneBlack-Cochineal-ViridianGreen-CobaltBlue-ChromeYellow|100-0-0-0-0-0
08B	LeadWhite-BoneBlack-Cochineal-ViridianGreen-CobaltBlue-ChromeYellow|99.1-0.9-0-0-0-0
08C	LeadWhite-BoneBlack-Cochineal-ViridianGreen-CobaltBlue-ChromeYellow|89.8-10.2-0-0-0-0
08D	LeadWhite-BoneBlack-Cochineal-ViridianGreen-CobaltBlue-ChromeYellow|89.6-0-10.4-0-0-0
08E	LeadWhite-BoneBlack-Cochineal-ViridianGreen-CobaltBlue-ChromeYellow|90.9-0-0-9.1-0-0
08F	LeadWhite-BoneBlack-Cochineal-ViridianGreen-CobaltBlue-ChromeYellow|89.9-0-0-0-10.4-0
08G	LeadWhite-BoneBlack-Cochineal-ViridianGreen-CobaltBlue-ChromeYellow|90.9-0-0-0-0-9.1
09A	ViridianGreen-ZincWhite-BoneBlack|100-0-0
09B	ViridianGreen-ZincWhite-BoneBlack|11.6-88.4-0
09C	ViridianGreen-ZincWhite-BoneBlack|49.7-50.3-0
09D	ViridianGreen-ZincWhite-BoneBlack|98.5-0-1.5
09E	ViridianGreen-ZincWhite-BoneBlack|95.2-0-4.8
10A	EmeraldGreen-ZincWhite-BoneBlack|100-0-0
10B	EmeraldGreen-ZincWhite-BoneBlack|10.4-89.6-0
10C	EmeraldGreen-ZincWhite-BoneBlack|50-50-0
10D	EmeraldGreen-ZincWhite-BoneBlack|99-0-1
10E	EmeraldGreen-ZincWhite-BoneBlack|89.2-0-10.8
